plan_id,plan_date,customer_name,origin_plant,origin_state,destination,destination_state,distance_km,planned_qty_t,min_rake_tonnage,terminal_cost,expected_demurrage,priority_score,rake_available,siding_slots,inventory_t,production_forecast_t,yard_id,product_type,wagon_type,route_via,lead_time_days
PLAN_2024_0121,16/10/2025,Customer_25,Bokaro Steel Plant,Odisha,SAIL Burnpur,Maharashtra,932,467,190,16200,4570,0.4,1,4,9075,2630,YARD_3,Iron Ore,BCN,Via Bilaspur,4
PLAN_2024_0122,10/11/2025,Customer_27,Rourkela Steel Plant,Odisha,RINL Visakhapatnam,Chhattisgarh,748,348,254,11965,6729,0.22,0,0,2278,2852,YARD_2,Limestone,BTPN,Via Bilaspur,5
PLAN_2024_0123,30/10/2025,Customer_15,Bokaro Steel Plant,Jharkhand,JSW Steel Dolvi,Chhattisgarh,951,438,130,7954,2261,0.4,1,5,5338,2258,YARD_2,Limestone,BOXN,Via Tatanagar,7
PLAN_2024_0124,08/11/2025,Customer_38,Bokaro Steel Plant,Andhra Pradesh,RINL Visakhapatnam,Maharashtra,583,476,228,19328,7723,0.93,1,3,1825,2164,YARD_1,Iron Ore,BCN,Via Nagpur,3
PLAN_2024_0125,18/10/2025,Customer_40,Bokaro Steel Plant,Andhra Pradesh,Jindal Steel Raigarh,Jharkhand,547,433,275,6355,7125,0.34,1,3,7065,2853,YARD_6,Coal,BCN,Via Tatanagar,4
PLAN_2024_0126,07/11/2025,Customer_29,Bokaro Steel Plant,Andhra Pradesh,Jindal Steel Raigarh,Chhattisgarh,354,114,155,15812,3887,0.45,0,0,4633,4664,YARD_3,Iron Ore,BCN,Direct,2
PLAN_2024_0127,01/11/2025,Customer_7,Rourkela Steel Plant,Chhattisgarh,Tata Steel Jamshedpur,Maharashtra,1128,363,123,6180,3879,0.12,1,3,8991,1982,YARD_9,Limestone,BOXN,Via Nagpur,10
PLAN_2024_0128,23/10/2025,Customer_34,Rourkela Steel Plant,Chhattisgarh,Bhushan Steel Meramandali,Jharkhand,909,85,237,5488,4194,0.12,1,3,7161,4230,YARD_10,Finished Steel,BOXN,Via Bilaspur,2
PLAN_2024_0129,08/11/2025,Customer_4,Rourkela Steel Plant,West Bengal,Bhushan Steel Meramandali,Chhattisgarh,971,351,150,9440,1930,0.76,1,2,5029,1717,YARD_4,Coal,BCN,Via Bilaspur,2
PLAN_2024_0130,12/11/2025,Customer_48,Rourkela Steel Plant,Maharashtra,Jindal Steel Raigarh,Andhra Pradesh,1285,78,244,13087,2028,0.2,1,1,3796,3257,YARD_8,Finished Steel,BTPN,Via Tatanagar,7
PLAN_2024_0131,24/10/2025,Customer_40,Bhilai Steel Plant,Andhra Pradesh,Jindal Steel Raigarh,West Bengal,1033,224,263,15580,4474,0.84,0,0,7110,1696,YARD_6,Iron Ore,BCN,Via Nagpur,10
PLAN_2024_0132,08/11/2025,Customer_11,Bhilai Steel Plant,Maharashtra,Tata Steel Jamshedpur,Jharkhand,1431,280,232,14329,2759,0.68,1,5,4440,581,YARD_8,Coal,BOXN,Via Bilaspur,7
PLAN_2024_0133,05/11/2025,Customer_40,Durgapur Steel Plant,Gujarat,Tata Steel Jamshedpur,West Bengal,1437,312,249,14771,7488,0.79,1,3,8802,2962,YARD_7,Iron Ore,BCN,Via Tatanagar,3
PLAN_2024_0134,14/11/2025,Customer_45,Bhilai Steel Plant,Jharkhand,Bhushan Steel Meramandali,Andhra Pradesh,715,207,276,9140,7254,0.24,1,5,1209,4853,YARD_7,Iron Ore,BCN,Via Tatanagar,7
PLAN_2024_0135,09/11/2025,Customer_30,Rourkela Steel Plant,Odisha,RINL Visakhapatnam,West Bengal,356,260,219,16539,1234,0.28,1,3,2709,1892,YARD_2,Coal,BCN,Direct,4
PLAN_2024_0136,01/11/2025,Customer_37,Durgapur Steel Plant,Chhattisgarh,Tata Steel Jamshedpur,Andhra Pradesh,1042,166,157,14893,5810,0.98,1,3,9091,1071,YARD_2,Finished Steel,BRN,Via Bilaspur,10
PLAN_2024_0137,10/11/2025,Customer_26,Durgapur Steel Plant,Odisha,Bhushan Steel Meramandali,Jharkhand,1366,336,192,9857,3919,0.23,0,0,7273,3472,YARD_6,Finished Steel,BTPN,Via Nagpur,10
PLAN_2024_0138,28/10/2025,Customer_20,Durgapur Steel Plant,West Bengal,Tata Steel Jamshedpur,Gujarat,205,371,240,19428,3504,0.67,1,3,3528,2412,YARD_1,Limestone,BCN,Via Nagpur,8
PLAN_2024_0139,24/10/2025,Customer_3,Bokaro Steel Plant,Maharashtra,Jindal Steel Raigarh,Gujarat,445,364,138,8771,7110,0.15,1,1,7742,2728,YARD_1,Iron Ore,BOXN,Direct,5
PLAN_2024_0140,27/10/2025,Customer_26,Bokaro Steel Plant,West Bengal,Tata Steel Jamshedpur,Andhra Pradesh,558,342,250,8317,1972,0.71,1,5,4008,3166,YARD_10,Finished Steel,BOXN,Via Tatanagar,5
PLAN_2024_0141,30/10/2025,Customer_23,Bhilai Steel Plant,Odisha,Essar Steel Hazira,West Bengal,662,138,255,19357,4625,0.5,1,3,8609,3318,YARD_7,Limestone,BCN,Via Tatanagar,9
PLAN_2024_0142,05/11/2025,Customer_24,Rourkela Steel Plant,Jharkhand,RINL Visakhapatnam,Maharashtra,444,467,134,19132,6552,0.68,1,5,8934,1956,YARD_2,Coal,BOXN,Direct,6
PLAN_2024_0143,06/11/2025,Customer_14,Durgapur Steel Plant,Chhattisgarh,RINL Visakhapatnam,Maharashtra,947,467,285,7188,6608,0.26,1,1,5089,3571,YARD_9,Limestone,BTPN,Direct,4
PLAN_2024_0144,10/11/2025,Customer_31,Rourkela Steel Plant,Jharkhand,JSW Steel Dolvi,Gujarat,578,431,274,6166,4824,0.82,0,0,1157,4419,YARD_8,Coal,BOXN,Via Tatanagar,9
PLAN_2024_0145,08/11/2025,Customer_4,Durgapur Steel Plant,Andhra Pradesh,RINL Visakhapatnam,Odisha,288,228,195,10980,7347,0.36,1,4,1260,1880,YARD_7,Limestone,BCN,Via Tatanagar,2
PLAN_2024_0146,20/10/2025,Customer_6,Bhilai Steel Plant,Chhattisgarh,Tata Steel Jamshedpur,Andhra Pradesh,869,356,254,10779,5181,0.45,0,0,1147,1708,YARD_8,Finished Steel,BTPN,Via Tatanagar,4
PLAN_2024_0147,05/11/2025,Customer_21,Bhilai Steel Plant,Maharashtra,Tata Steel Jamshedpur,Chhattisgarh,1341,340,260,14633,1322,0.34,0,0,5161,684,YARD_2,Limestone,BCN,Via Nagpur,7
PLAN_2024_0148,23/10/2025,Customer_48,Bhilai Steel Plant,Maharashtra,Tata Steel Jamshedpur,West Bengal,1130,432,207,12580,5852,0.82,0,0,4339,560,YARD_8,Limestone,BRN,Via Tatanagar,4
PLAN_2024_0149,04/11/2025,Customer_18,Bokaro Steel Plant,Odisha,Tata Steel Jamshedpur,Gujarat,499,364,262,9154,4425,0.88,1,1,7859,1095,YARD_4,Limestone,BCN,Via Tatanagar,2
PLAN_2024_0150,30/10/2025,Customer_34,Durgapur Steel Plant,West Bengal,Bhushan Steel Meramandali,Jharkhand,363,425,110,5067,1932,0.47,1,2,6470,1771,YARD_2,Coal,BOXN,Via Tatanagar,8
PLAN_2024_0151,28/10/2025,Customer_21,Bhilai Steel Plant,West Bengal,JSW Steel Dolvi,Andhra Pradesh,749,66,158,19055,3219,0.97,1,3,5216,3952,YARD_4,Coal,BOXN,Via Nagpur,6
PLAN_2024_0152,01/11/2025,Customer_37,Bhilai Steel Plant,Chhattisgarh,Tata Steel Jamshedpur,Odisha,851,239,251,6712,2276,0.88,1,2,7350,2771,YARD_10,Finished Steel,BCN,Via Bilaspur,7
PLAN_2024_0153,25/10/2025,Customer_21,Rourkela Steel Plant,West Bengal,Jindal Steel Raigarh,Jharkhand,246,95,254,13544,5095,0.3,1,5,6828,1667,YARD_2,Limestone,BOXN,Via Bilaspur,7
PLAN_2024_0154,31/10/2025,Customer_38,Bhilai Steel Plant,Jharkhand,RINL Visakhapatnam,Andhra Pradesh,523,142,299,5001,1419,0.58,0,0,2323,1204,YARD_3,Iron Ore,BCN,Direct,5
PLAN_2024_0155,06/11/2025,Customer_17,Bokaro Steel Plant,Gujarat,JSW Steel Dolvi,Andhra Pradesh,605,331,186,17492,2163,0.95,0,0,3312,814,YARD_5,Finished Steel,BOXN,Via Tatanagar,9
PLAN_2024_0156,03/11/2025,Customer_12,Bokaro Steel Plant,West Bengal,Tata Steel Jamshedpur,Andhra Pradesh,1293,491,119,17565,3741,0.96,0,0,9775,1487,YARD_3,Limestone,BOXN,Direct,2
PLAN_2024_0157,26/10/2025,Customer_40,Bhilai Steel Plant,West Bengal,Jindal Steel Raigarh,Maharashtra,847,113,228,6982,2003,0.46,1,3,7158,2149,YARD_10,Coal,BCN,Direct,9
PLAN_2024_0158,06/11/2025,Customer_10,Rourkela Steel Plant,Andhra Pradesh,SAIL Burnpur,Gujarat,750,276,132,9390,3394,0.84,0,0,7694,3821,YARD_9,Finished Steel,BCN,Via Tatanagar,6
PLAN_2024_0159,04/11/2025,Customer_32,Bokaro Steel Plant,Andhra Pradesh,SAIL Burnpur,Chhattisgarh,746,98,262,6059,1646,0.22,0,0,1168,2348,YARD_5,Iron Ore,BCN,Direct,3
PLAN_2024_0160,09/11/2025,Customer_20,Bokaro Steel Plant,Maharashtra,RINL Visakhapatnam,Jharkhand,1281,102,112,12648,1971,0.48,0,0,6517,3965,YARD_3,Limestone,BTPN,Via Tatanagar,8
PLAN_2024_0161,13/11/2025,Customer_48,Rourkela Steel Plant,Andhra Pradesh,JSW Steel Dolvi,Odisha,608,158,106,5347,6694,0.82,0,0,8743,3380,YARD_8,Limestone,BRN,Via Tatanagar,4
PLAN_2024_0162,13/11/2025,Customer_17,Bokaro Steel Plant,Gujarat,RINL Visakhapatnam,Maharashtra,1442,156,214,18715,6026,0.47,1,2,4674,1812,YARD_4,Limestone,BOXN,Direct,2
PLAN_2024_0163,22/10/2025,Customer_44,Bokaro Steel Plant,Maharashtra,Essar Steel Hazira,West Bengal,1067,303,133,17360,7382,0.4,1,1,5458,4388,YARD_4,Limestone,BOXN,Via Nagpur,4
PLAN_2024_0164,05/11/2025,Customer_4,Bhilai Steel Plant,West Bengal,Tata Steel Jamshedpur,Chhattisgarh,1129,375,175,6602,6172,0.84,0,0,5169,3304,YARD_3,Coal,BOXN,Direct,9
PLAN_2024_0165,04/11/2025,Customer_46,Bokaro Steel Plant,West Bengal,RINL Visakhapatnam,Jharkhand,803,418,282,10560,2706,0.22,0,0,8509,1386,YARD_10,Finished Steel,BCN,Via Nagpur,2
PLAN_2024_0166,26/10/2025,Customer_39,Rourkela Steel Plant,Chhattisgarh,Essar Steel Hazira,Gujarat,1148,279,156,16819,1176,0.67,0,0,2774,3229,YARD_4,Limestone,BRN,Direct,7
PLAN_2024_0167,30/10/2025,Customer_46,Bokaro Steel Plant,West Bengal,Tata Steel Jamshedpur,Maharashtra,413,114,271,7690,5986,0.31,0,0,3864,2381,YARD_2,Iron Ore,BTPN,Direct,7
PLAN_2024_0168,11/11/2025,Customer_15,Bokaro Steel Plant,Maharashtra,Tata Steel Jamshedpur,Andhra Pradesh,912,234,178,16845,2346,0.67,0,0,1065,1345,YARD_2,Limestone,BCN,Via Nagpur,5
PLAN_2024_0169,24/10/2025,Customer_32,Bokaro Steel Plant,West Bengal,Jindal Steel Raigarh,Chhattisgarh,325,358,270,14106,2527,0.79,0,0,6218,2419,YARD_8,Limestone,BRN,Via Nagpur,7
PLAN_2024_0170,12/11/2025,Customer_31,Bokaro Steel Plant,Andhra Pradesh,Bhushan Steel Meramandali,Gujarat,633,491,201,12066,3936,0.23,1,1,8595,4908,YARD_7,Finished Steel,BTPN,Direct,9
PLAN_2024_0171,30/10/2025,Customer_4,Rourkela Steel Plant,Chhattisgarh,Tata Steel Jamshedpur,Andhra Pradesh,779,144,272,5234,6985,0.18,0,0,3603,2879,YARD_5,Limestone,BCN,Via Nagpur,3
PLAN_2024_0172,13/11/2025,Customer_47,Durgapur Steel Plant,Odisha,RINL Visakhapatnam,Gujarat,1248,298,148,19593,7017,0.32,1,4,4743,1745,YARD_9,Coal,BRN,Via Bilaspur,8
PLAN_2024_0173,24/10/2025,Customer_12,Bokaro Steel Plant,Chhattisgarh,RINL Visakhapatnam,Odisha,1049,366,255,5585,4513,0.24,1,1,8937,1730,YARD_6,Coal,BOXN,Direct,5
PLAN_2024_0174,30/10/2025,Customer_31,Bhilai Steel Plant,Gujarat,Bhushan Steel Meramandali,West Bengal,1405,373,226,13647,6102,0.79,1,4,1228,601,YARD_3,Finished Steel,BTPN,Via Tatanagar,5
PLAN_2024_0175,29/10/2025,Customer_18,Bhilai Steel Plant,Chhattisgarh,Tata Steel Jamshedpur,Jharkhand,1451,243,127,16266,3802,0.14,1,2,5227,3754,YARD_10,Limestone,BTPN,Direct,7
PLAN_2024_0176,06/11/2025,Customer_46,Durgapur Steel Plant,West Bengal,Bhushan Steel Meramandali,Gujarat,215,216,283,15145,6378,0.95,0,0,6063,3557,YARD_4,Iron Ore,BOXN,Via Nagpur,7
PLAN_2024_0177,12/11/2025,Customer_27,Bokaro Steel Plant,Odisha,Essar Steel Hazira,Gujarat,1167,169,130,16580,7814,0.62,0,0,3416,4674,YARD_9,Coal,BRN,Via Nagpur,3
PLAN_2024_0178,07/11/2025,Customer_32,Bokaro Steel Plant,Maharashtra,Bhushan Steel Meramandali,Gujarat,535,492,128,9763,2482,0.19,1,1,4755,2371,YARD_9,Limestone,BOXN,Via Tatanagar,3
PLAN_2024_0179,25/10/2025,Customer_40,Bokaro Steel Plant,Odisha,JSW Steel Dolvi,Gujarat,925,437,129,16195,3640,0.91,0,0,4945,4155,YARD_10,Coal,BTPN,Via Tatanagar,2
PLAN_2024_0180,28/10/2025,Customer_18,Bhilai Steel Plant,Chhattisgarh,RINL Visakhapatnam,Gujarat,822,462,207,14917,5286,0.63,0,0,1037,1891,YARD_9,Iron Ore,BTPN,Via Bilaspur,6
PLAN_2024_0181,09/11/2025,Customer_18,Rourkela Steel Plant,Chhattisgarh,RINL Visakhapatnam,Odisha,345,375,275,17313,4720,0.9,1,3,7277,1058,YARD_10,Limestone,BTPN,Direct,4
PLAN_2024_0182,16/10/2025,Customer_22,Durgapur Steel Plant,Chhattisgarh,JSW Steel Dolvi,Maharashtra,392,471,289,5790,4567,0.68,1,2,8959,2248,YARD_4,Iron Ore,BOXN,Via Nagpur,10
PLAN_2024_0183,22/10/2025,Customer_4,Bokaro Steel Plant,Jharkhand,JSW Steel Dolvi,Odisha,1263,151,156,19033,4003,0.37,1,3,8618,3517,YARD_4,Limestone,BRN,Via Nagpur,2
PLAN_2024_0184,04/11/2025,Customer_26,Bhilai Steel Plant,Maharashtra,Essar Steel Hazira,Andhra Pradesh,1464,127,150,9152,6632,0.42,0,0,2044,2379,YARD_8,Iron Ore,BTPN,Direct,4
PLAN_2024_0185,10/11/2025,Customer_3,Rourkela Steel Plant,Chhattisgarh,Jindal Steel Raigarh,Gujarat,498,362,246,16808,5362,0.11,1,5,3787,2892,YARD_3,Coal,BRN,Direct,8
PLAN_2024_0186,03/11/2025,Customer_12,Bhilai Steel Plant,West Bengal,SAIL Burnpur,Jharkhand,1244,408,160,13176,3019,0.95,1,2,8914,4275,YARD_7,Coal,BOXN,Via Tatanagar,9
PLAN_2024_0187,18/10/2025,Customer_42,Durgapur Steel Plant,West Bengal,Tata Steel Jamshedpur,Gujarat,1490,308,107,9576,3520,0.1,1,4,2549,1002,YARD_2,Coal,BTPN,Via Nagpur,4
PLAN_2024_0188,20/10/2025,Customer_15,Rourkela Steel Plant,West Bengal,Bhushan Steel Meramandali,Odisha,492,391,148,17864,3025,0.49,1,2,2291,970,YARD_7,Limestone,BRN,Direct,7
PLAN_2024_0189,28/10/2025,Customer_1,Bokaro Steel Plant,Maharashtra,JSW Steel Dolvi,Chhattisgarh,622,469,150,16342,3188,0.72,1,1,9030,3336,YARD_6,Coal,BTPN,Via Tatanagar,6
PLAN_2024_0190,24/10/2025,Customer_46,Bokaro Steel Plant,Gujarat,SAIL Burnpur,West Bengal,621,491,295,8417,1102,0.23,0,0,2389,4517,YARD_9,Coal,BTPN,Via Bilaspur,2
PLAN_2024_0191,21/10/2025,Customer_17,Bhilai Steel Plant,Chhattisgarh,Bhushan Steel Meramandali,West Bengal,1128,495,288,13936,6940,0.88,1,5,7542,1595,YARD_5,Iron Ore,BCN,Via Nagpur,8
PLAN_2024_0192,23/10/2025,Customer_42,Rourkela Steel Plant,West Bengal,Tata Steel Jamshedpur,Odisha,228,248,265,18706,7033,0.12,1,3,2741,2709,YARD_3,Iron Ore,BOXN,Via Nagpur,10
PLAN_2024_0193,10/11/2025,Customer_36,Durgapur Steel Plant,Andhra Pradesh,JSW Steel Dolvi,Odisha,764,72,170,15267,3512,0.52,0,0,2329,3693,YARD_9,Finished Steel,BCN,Via Bilaspur,6
PLAN_2024_0194,08/11/2025,Customer_41,Durgapur Steel Plant,Jharkhand,JSW Steel Dolvi,Gujarat,953,94,299,18115,4468,0.72,0,0,7873,4423,YARD_6,Limestone,BCN,Via Tatanagar,8
PLAN_2024_0195,04/11/2025,Customer_48,Rourkela Steel Plant,Chhattisgarh,Essar Steel Hazira,West Bengal,452,375,103,14449,4828,0.37,0,0,4463,3109,YARD_8,Iron Ore,BTPN,Via Bilaspur,9
PLAN_2024_0196,05/11/2025,Customer_49,Rourkela Steel Plant,Gujarat,Jindal Steel Raigarh,Andhra Pradesh,880,157,154,13995,4576,0.21,0,0,5905,4885,YARD_9,Iron Ore,BCN,Via Tatanagar,3
PLAN_2024_0197,04/11/2025,Customer_44,Rourkela Steel Plant,Gujarat,Essar Steel Hazira,Odisha,1414,343,259,17789,3558,0.51,1,3,7196,4560,YARD_4,Finished Steel,BOXN,Via Tatanagar,10
PLAN_2024_0198,09/11/2025,Customer_44,Durgapur Steel Plant,Jharkhand,Essar Steel Hazira,West Bengal,1100,462,108,16286,6285,0.32,1,3,7355,1528,YARD_6,Coal,BOXN,Direct,2
PLAN_2024_0199,27/10/2025,Customer_20,Rourkela Steel Plant,Gujarat,JSW Steel Dolvi,Chhattisgarh,418,242,242,19349,6342,0.55,1,1,3027,4569,YARD_4,Coal,BRN,Via Bilaspur,6
PLAN_2024_0200,09/11/2025,Customer_8,Bokaro Steel Plant,West Bengal,Bhushan Steel Meramandali,Maharashtra,422,129,162,16861,3860,0.37,1,1,6875,4046,YARD_8,Finished Steel,BCN,Direct,2
PLAN_2024_0201,26/10/2025,Customer_48,Rourkela Steel Plant,West Bengal,Tata Steel Jamshedpur,Gujarat,1279,59,260,8045,7116,0.62,1,3,1411,525,YARD_2,Finished Steel,BCN,Via Tatanagar,8
PLAN_2024_0202,07/11/2025,Customer_26,Durgapur Steel Plant,Jharkhand,SAIL Burnpur,Gujarat,620,57,287,16241,4545,0.95,1,5,3094,1600,YARD_3,Coal,BOXN,Via Nagpur,3
PLAN_2024_0203,06/11/2025,Customer_50,Durgapur Steel Plant,Gujarat,Essar Steel Hazira,Maharashtra,1201,84,145,13150,3140,0.16,1,4,1290,1348,YARD_6,Iron Ore,BRN,Via Tatanagar,8
PLAN_2024_0204,12/11/2025,Customer_32,Durgapur Steel Plant,West Bengal,SAIL Burnpur,Andhra Pradesh,538,103,174,15408,6695,0.42,0,0,3508,677,YARD_3,Iron Ore,BCN,Via Bilaspur,10
PLAN_2024_0205,20/10/2025,Customer_19,Rourkela Steel Plant,West Bengal,Tata Steel Jamshedpur,Odisha,548,266,294,10028,6562,0.24,1,5,6254,3367,YARD_6,Limestone,BOXN,Via Tatanagar,3
PLAN_2024_0206,16/10/2025,Customer_30,Bokaro Steel Plant,Chhattisgarh,SAIL Burnpur,Gujarat,1124,188,139,9723,4154,0.82,1,1,4591,1850,YARD_10,Iron Ore,BTPN,Via Nagpur,4
PLAN_2024_0207,16/10/2025,Customer_22,Bhilai Steel Plant,Jharkhand,JSW Steel Dolvi,Maharashtra,1208,450,176,16316,5646,0.19,0,0,3673,3943,YARD_1,Limestone,BRN,Direct,7
PLAN_2024_0208,14/11/2025,Customer_31,Bokaro Steel Plant,Jharkhand,SAIL Burnpur,Odisha,841,453,292,10309,1701,0.27,0,0,9203,2930,YARD_6,Iron Ore,BOXN,Via Bilaspur,5
PLAN_2024_0209,03/11/2025,Customer_3,Rourkela Steel Plant,Gujarat,Essar Steel Hazira,Chhattisgarh,1315,222,235,11547,5560,0.95,1,3,2366,3493,YARD_9,Iron Ore,BCN,Direct,3
PLAN_2024_0210,01/11/2025,Customer_31,Bokaro Steel Plant,Odisha,Jindal Steel Raigarh,Chhattisgarh,809,378,273,5620,7389,0.4,1,1,8735,2590,YARD_10,Finished Steel,BCN,Via Tatanagar,3
PLAN_2024_0211,19/10/2025,Customer_50,Bokaro Steel Plant,West Bengal,RINL Visakhapatnam,Odisha,967,409,121,12118,1763,0.94,1,2,7928,1878,YARD_2,Coal,BCN,Direct,9
PLAN_2024_0212,28/10/2025,Customer_37,Rourkela Steel Plant,Odisha,SAIL Burnpur,Chhattisgarh,1346,289,204,13800,4541,0.67,0,0,2582,1131,YARD_9,Limestone,BCN,Via Tatanagar,8
PLAN_2024_0213,04/11/2025,Customer_29,Bhilai Steel Plant,Gujarat,SAIL Burnpur,Chhattisgarh,874,57,251,7120,4068,0.36,0,0,3996,3145,YARD_9,Limestone,BRN,Direct,7
PLAN_2024_0214,01/11/2025,Customer_46,Bokaro Steel Plant,Jharkhand,Jindal Steel Raigarh,Gujarat,635,435,127,17201,4909,0.23,1,1,1526,558,YARD_1,Finished Steel,BRN,Direct,2
PLAN_2024_0215,16/10/2025,Customer_33,Rourkela Steel Plant,Gujarat,JSW Steel Dolvi,West Bengal,455,115,165,7996,4740,0.93,1,4,5363,1243,YARD_5,Limestone,BRN,Direct,10
PLAN_2024_0216,14/11/2025,Customer_49,Bokaro Steel Plant,Andhra Pradesh,SAIL Burnpur,Maharashtra,1455,392,197,9752,1992,0.13,1,1,8299,1211,YARD_1,Coal,BRN,Via Bilaspur,8
PLAN_2024_0217,29/10/2025,Customer_25,Bhilai Steel Plant,Andhra Pradesh,SAIL Burnpur,Odisha,1288,197,266,8689,7756,0.88,1,5,7894,703,YARD_2,Coal,BRN,Via Nagpur,7
PLAN_2024_0218,27/10/2025,Customer_19,Bokaro Steel Plant,Chhattisgarh,Jindal Steel Raigarh,Odisha,922,318,193,5549,1620,0.4,0,0,5104,3550,YARD_9,Finished Steel,BTPN,Via Bilaspur,2
PLAN_2024_0219,08/11/2025,Customer_41,Rourkela Steel Plant,West Bengal,JSW Steel Dolvi,Odisha,1293,222,223,11347,2905,0.93,0,0,7482,4518,YARD_7,Iron Ore,BOXN,Direct,3
PLAN_2024_0220,22/10/2025,Customer_31,Bhilai Steel Plant,Jharkhand,SAIL Burnpur,Chhattisgarh,783,238,169,7985,6907,0.89,1,3,9432,727,YARD_5,Finished Steel,BRN,Via Tatanagar,8
PLAN_2024_0221,23/10/2025,Customer_50,Rourkela Steel Plant,Jharkhand,Essar Steel Hazira,West Bengal,985,119,291,11910,2234,0.63,1,5,2770,4493,YARD_3,Limestone,BTPN,Via Tatanagar,7
PLAN_2024_0222,09/11/2025,Customer_37,Bhilai Steel Plant,West Bengal,Jindal Steel Raigarh,Chhattisgarh,1266,217,285,13189,2917,0.61,0,0,4486,3730,YARD_2,Iron Ore,BTPN,Via Tatanagar,6
PLAN_2024_0223,28/10/2025,Customer_28,Durgapur Steel Plant,Jharkhand,Essar Steel Hazira,Andhra Pradesh,560,217,103,7793,3703,0.98,0,0,5650,3390,YARD_4,Finished Steel,BOXN,Direct,9
PLAN_2024_0224,11/11/2025,Customer_27,Durgapur Steel Plant,Odisha,Jindal Steel Raigarh,Chhattisgarh,321,348,268,16061,6979,0.27,1,2,5125,855,YARD_9,Iron Ore,BCN,Direct,9
PLAN_2024_0225,04/11/2025,Customer_40,Rourkela Steel Plant,Jharkhand,SAIL Burnpur,Chhattisgarh,1080,91,140,15869,3777,0.44,1,4,6554,623,YARD_8,Finished Steel,BTPN,Via Tatanagar,7
PLAN_2024_0226,04/11/2025,Customer_46,Rourkela Steel Plant,Jharkhand,Essar Steel Hazira,Odisha,1430,71,169,13415,4698,0.65,0,0,8455,4314,YARD_2,Limestone,BOXN,Via Bilaspur,5
PLAN_2024_0227,25/10/2025,Customer_49,Bokaro Steel Plant,Gujarat,JSW Steel Dolvi,West Bengal,1293,329,208,11895,3893,0.4,0,0,1786,1099,YARD_9,Iron Ore,BCN,Via Bilaspur,7
PLAN_2024_0228,03/11/2025,Customer_22,Bhilai Steel Plant,West Bengal,Tata Steel Jamshedpur,Jharkhand,612,279,276,11344,1845,0.88,1,4,2208,3223,YARD_4,Coal,BCN,Via Bilaspur,2
PLAN_2024_0229,20/10/2025,Customer_24,Bokaro Steel Plant,West Bengal,Essar Steel Hazira,Chhattisgarh,687,417,194,7661,5993,0.94,0,0,8941,1200,YARD_8,Coal,BOXN,Via Bilaspur,7
PLAN_2024_0230,13/11/2025,Customer_5,Bhilai Steel Plant,Chhattisgarh,Essar Steel Hazira,Jharkhand,1179,279,120,16945,3587,0.42,1,4,5979,1940,YARD_2,Coal,BRN,Via Bilaspur,4
PLAN_2024_0231,08/11/2025,Customer_32,Bokaro Steel Plant,Jharkhand,Tata Steel Jamshedpur,Maharashtra,1179,374,252,18533,2182,0.96,1,1,9915,4864,YARD_7,Coal,BCN,Via Bilaspur,2
PLAN_2024_0232,05/11/2025,Customer_14,Bhilai Steel Plant,Odisha,Tata Steel Jamshedpur,Maharashtra,1461,424,219,15390,1116,0.32,0,0,2087,3102,YARD_3,Finished Steel,BCN,Direct,4
PLAN_2024_0233,12/11/2025,Customer_41,Durgapur Steel Plant,Gujarat,Jindal Steel Raigarh,Chhattisgarh,1263,299,180,13399,7083,0.34,1,2,6119,3990,YARD_8,Coal,BTPN,Via Nagpur,5
PLAN_2024_0234,26/10/2025,Customer_38,Bhilai Steel Plant,Odisha,Jindal Steel Raigarh,Gujarat,957,443,221,5604,1767,0.14,0,0,8596,956,YARD_7,Iron Ore,BRN,Direct,2
PLAN_2024_0235,02/11/2025,Customer_9,Bhilai Steel Plant,West Bengal,RINL Visakhapatnam,Odisha,1131,341,166,14379,5038,0.21,0,0,1799,1829,YARD_8,Coal,BTPN,Via Bilaspur,8
PLAN_2024_0236,09/11/2025,Customer_1,Bhilai Steel Plant,Odisha,SAIL Burnpur,Jharkhand,1358,416,114,17823,1816,0.12,0,0,1684,521,YARD_5,Iron Ore,BOXN,Via Nagpur,2
PLAN_2024_0237,17/10/2025,Customer_45,Durgapur Steel Plant,West Bengal,Essar Steel Hazira,Jharkhand,1358,434,147,7092,5945,0.47,0,0,5280,2986,YARD_9,Iron Ore,BTPN,Via Tatanagar,4
PLAN_2024_0238,21/10/2025,Customer_36,Durgapur Steel Plant,Chhattisgarh,Essar Steel Hazira,Jharkhand,1397,326,130,11012,5306,0.94,0,0,9626,2727,YARD_9,Iron Ore,BTPN,Via Tatanagar,8
PLAN_2024_0239,30/10/2025,Customer_6,Rourkela Steel Plant,Andhra Pradesh,SAIL Burnpur,Chhattisgarh,278,71,156,19583,1819,0.59,0,0,3895,3704,YARD_9,Finished Steel,BCN,Via Nagpur,8
PLAN_2024_0240,13/11/2025,Customer_24,Bhilai Steel Plant,Jharkhand,Tata Steel Jamshedpur,West Bengal,1335,343,253,8268,3875,0.74,0,0,5111,4481,YARD_10,Iron Ore,BTPN,Direct,4
PLAN_2024_0241,28/10/2025,Customer_18,Durgapur Steel Plant,Jharkhand,JSW Steel Dolvi,West Bengal,1375,337,195,16839,3751,0.6,0,0,8738,2688,YARD_2,Iron Ore,BCN,Via Bilaspur,4
